0.0000000000,1.0000000000
0.0870132873,0.9924286878
0.1305199310,0.9829645476
0.1667754678,0.9721859433
0.1990901914,0.9603630957
0.2287823929,0.9476586167
0.2565478140,0.9341832191
0.2828107600,0.9200180741
0.3078542784,0.9052257433
0.3318791691,0.8898562171
0.3550344822,0.8739505165
0.3774347061,0.8575430426
0.3991702326,0.8406631254
0.4203139901,0.8233361497
0.4409259517,0.8055843052
0.4610561396,0.7874272361
0.4807468957,0.7688824223
0.5000343981,0.7499656007
0.5189499406,0.7306909592
0.5375207507,0.7110714426
0.5557707607,0.6911188616
0.5737211581,0.6708440328
0.5913907531,0.6502569771
0.6087963887,0.6293669571
0.6259532087,0.6081825805
0.6428749089,0.5867118515
0.6595739430,0.5649622138
0.6760615847,0.5429407337
0.6923481828,0.5206539938
0.7084432298,0.4981081901
0.7243554621,0.4753091645
0.7400929216,0.4522624675
0.7556630590,0.4289733413
0.7710728083,0.4054467242
0.7863285772,0.3816873688
0.8014363628,0.3576997564
0.8164017621,0.3334881629
0.8312299999,0.3090566872
0.8459259780,0.2844092397
0.8604943260,0.2595495149
0.8749393575,0.2344811208
0.8892651470,0.2092074984
0.9034755449,0.1837319398
0.9175741929,0.1580576005
0.9315645355,0.1321875162
0.9454498241,0.1061246302
0.9592331499,0.0798717641
0.9729174500,0.0534316355
0.9865055153,0.0268068683
1.0000000000,0.0000000000
